CustomerID,rfm_features,features,prediction,Recency,Frequency,Monetary,RFM_Score,RFM_ScoreGroup,Loyalty
16678.0,"[3.0,163.0,3111.0]","[0.030142110361400104,0.7484062338257037,0.4156197569544737]",0,3,163,3111.0,3,111,Platinum
17735.0,"[3.0,690.0,13207.0]","[0.030142110361400104,3.1681000082192363,1.7644134137247618]",0,3,690,13207.0,3,111,Platinum
17139.0,"[16.0,478.0,10750.0]","[0.1607579219274672,2.194712759317094,1.4361659875476027]",0,16,478,10750.0,3,111,Platinum
13408.0,"[2.0,478.0,28127.0]","[0.0200947402409334,2.194712759317094,3.7576782076047834]",0,2,478,28127.0,3,111,Platinum
17389.0,"[1.0,213.0,31852.0]","[0.0100473701204667,0.9779786981894164,4.255326421894534]",0,1,213,31852.0,3,111,Platinum
14659.0,"[9.0,253.0,2544.0]","[0.09042633108420031,1.1616366696803866,0.3398703509135908]",0,9,253,2544.0,3,111,Platinum
17738.0,"[20.0,97.0,1884.0]","[0.200947402409334,0.44537058086560277,0.2516964391199705]",0,20,97,1884.0,3,111,Platinum
15953.0,"[16.0,98.0,1670.0]","[0.1607579219274672,0.44996203015287706,0.22310671620506944]",0,16,98,1670.0,3,111,Platinum
13418.0,"[12.0,304.0,6157.0]","[0.12056844144560042,1.3958005833313738,0.8225557195656362]",0,12,304,6157.0,3,111,Platinum
16327.0,"[15.0,319.0,3883.0]","[0.15071055180700052,1.4646723226404876,0.5187565143857992]",0,15,319,3883.0,3,111,Platinum
14032.0,"[3.0,143.0,2975.0]","[0.030142110361400104,0.6565772480802186,0.39745058725154586]",0,3,143,2975.0,3,111,Platinum
14031.0,"[8.0,250.0,17297.0]","[0.0803789609637336,1.147862321818564,2.3108244731731054]",0,8,250,17297.0,3,111,Platinum
15465.0,"[20.0,97.0,7364.0]","[0.200947402409334,0.44537058086560277,0.9838071006791206]",0,20,97,7364.0,3,111,Platinum
16326.0,"[6.0,319.0,3141.0]","[0.06028422072280021,1.4646723226404876,0.4196276620360019]",0,6,319,3141.0,3,111,Platinum
13426.0,"[1.0,157.0,3640.0]","[0.0100473701204667,0.7208575381020581,0.4862924832254208]",0,1,157,3640.0,3,111,Platinum
14030.0,"[19.0,243.0,2382.0]","[0.19090003228886732,1.1157221768076442,0.3182276634733386]",0,19,243,2382.0,3,111,Platinum
14961.0,"[11.0,312.0,7077.0]","[0.11052107132513371,1.4325321776295679,0.9454648087325008]",0,11,312,7077.0,3,111,Platinum
14049.0,"[17.0,488.0,5741.0]","[0.1708052920479339,2.240627252189837,0.7669794357684453]",0,17,488,5741.0,3,111,Platinum
16790.0,"[4.0,93.0,1555.0]","[0.0401894804818668,0.4270047837165058,0.20774308005921135]",0,4,93,1555.0,3,111,Platinum
14051.0,"[1.0,210.0,15619.0]","[0.0100473701204667,0.9642043503275937,2.0866489822796286]",0,1,210,15619.0,3,111,Platinum
18041.0,"[12.0,472.0,4203.0]","[0.12056844144560042,2.167164063593449,0.5615075019220999]",0,12,472,4203.0,3,111,Platinum
16942.0,"[13.0,281.0,1925.0]","[0.1306158115660671,1.290197249724066,0.25717390939805906]",0,13,281,1925.0,3,111,Platinum
